date,geography,geography code,Welsh writing ability: Total: All usual residents aged 3 years and over,Welsh writing ability: Cannot write Welsh,Welsh writing ability: Can write Welsh
2021,W00000062,W00000062,379,177,202
2021,W00000063,W00000063,270,144,126
2021,W00000064,W00000064,237,45,192
2021,W00000065,W00000065,303,107,196
2021,W00000066,W00000066,283,96,187
2021,W00000067,W00000067,525,145,380
2021,W00000068,W00000068,411,129,282
2021,W00000069,W00000069,370,94,276
2021,W00000070,W00000070,409,152,257
2021,W00000071,W00000071,373,183,190
2021,W00000072,W00000072,250,77,173
2021,W00000073,W00000073,211,90,121
2021,W00000074,W00000074,188,75,113
2021,W00000075,W00000075,265,197,68
2021,W00000076,W00000076,252,184,68
2021,W00000077,W00000077,369,259,110
2021,W00000078,W00000078,270,187,83
2021,W00000079,W00000079,285,177,108
2021,W00000080,W00000080,357,237,120
2021,W00000081,W00000081,287,183,104
2021,W00000082,W00000082,387,260,127
2021,W00000083,W00000083,321,187,134
2021,W00000084,W00000084,126,85,41
2021,W00000086,W00000086,193,105,88
2021,W00000087,W00000087,173,116,57
2021,W00000088,W00000088,283,167,116
2021,W00000090,W00000090,150,85,65
2021,W00000091,W00000091,294,150,144
2021,W00000092,W00000092,173,127,46
2021,W00000093,W00000093,173,129,44
2021,W00000094,W00000094,266,182,84
2021,W00000095,W00000095,216,159,57
2021,W00000096,W00000096,203,134,69
2021,W00000097,W00000097,401,168,233
2021,W00000098,W00000098,313,116,197
2021,W00000099,W00000099,327,114,213
2021,W00000100,W00000100,253,158,95
2021,W00000101,W00000101,304,148,156
2021,W00000102,W00000102,298,200,98
2021,W00000103,W00000103,356,230,126
2021,W00000104,W00000104,278,143,135
2021,W00000105,W00000105,361,180,181
2021,W00000106,W00000106,301,143,158
2021,W00000107,W00000107,369,196,173
2021,W00000108,W00000108,475,258,217
2021,W00000109,W00000109,244,87,157
2021,W00000110,W00000110,320,151,169
2021,W00000111,W00000111,252,131,121
2021,W00000112,W00000112,286,99,187
2021,W00000113,W00000113,351,108,243
2021,W00000114,W00000114,360,141,219
2021,W00000115,W00000115,447,175,272
2021,W00000116,W00000116,392,236,156
2021,W00000117,W00000117,339,266,73
2021,W00000118,W00000118,294,180,114
2021,W00000119,W00000119,267,202,65
2021,W00000120,W00000120,367,214,153
2021,W00000121,W00000121,275,92,183
2021,W00000122,W00000122,315,108,207
2021,W00000123,W00000123,342,98,244
2021,W00000124,W00000124,426,156,270
2021,W00000125,W00000125,293,87,206
2021,W00000126,W00000126,446,150,296
2021,W00000127,W00000127,288,156,132
2021,W00000128,W00000128,276,156,120
2021,W00000129,W00000129,301,207,94
2021,W00000130,W00000130,166,112,54
2021,W00000131,W00000131,198,153,45
2021,W00000132,W00000132,306,178,128
2021,W00000133,W00000133,509,196,313
2021,W00000134,W00000134,324,153,171
2021,W00000135,W00000135,360,176,184
2021,W00000136,W00000136,313,126,187
2021,W00000137,W00000137,224,116,108
2021,W00000138,W00000138,303,115,188
2021,W00000139,W00000139,408,125,283
2021,W00000140,W00000140,406,139,267
2021,W00000141,W00000141,288,108,180
2021,W00000142,W00000142,296,170,126
2021,W00000143,W00000143,326,210,116
2021,W00000144,W00000144,269,175,94
2021,W00000145,W00000145,414,288,126
2021,W00000146,W00000146,270,170,100
2021,W00000147,W00000147,264,180,84
2021,W00000148,W00000148,164,112,52
2021,W00000149,W00000149,361,240,121
2021,W00000150,W00000150,328,236,92
2021,W00000151,W00000151,251,163,88
2021,W00000152,W00000152,283,194,89
2021,W00000153,W00000153,261,168,93
2021,W00000154,W00000154,272,218,54
2021,W00000155,W00000155,317,224,93
2021,W00000156,W00000156,246,127,119
2021,W00000157,W00000157,354,203,151
2021,W00000158,W00000158,317,174,143
2021,W00000159,W00000159,322,148,174
2021,W00000160,W00000160,272,112,160
2021,W00000161,W00000161,155,104,51
2021,W00000162,W00000162,263,126,137
2021,W00000163,W00000163,306,193,113
2021,W00000164,W00000164,172,105,67
2021,W00000165,W00000165,374,271,103
2021,W00000166,W00000166,245,179,66
2021,W00000167,W00000167,262,200,62
2021,W00000168,W00000168,260,197,63
2021,W00000169,W00000169,358,263,95
2021,W00000170,W00000170,235,140,95
2021,W00000171,W00000171,380,253,127
2021,W00000172,W00000172,522,330,192
2021,W00000173,W00000173,263,175,88
2021,W00000174,W00000174,250,140,110
2021,W00000175,W00000175,380,215,165
2021,W00000176,W00000176,294,162,132
2021,W00000177,W00000177,217,115,102
2021,W00000178,W00000178,338,179,159
2021,W00000179,W00000179,264,142,122
2021,W00000180,W00000180,261,200,61
2021,W00000181,W00000181,267,186,81
2021,W00000182,W00000182,254,183,71
2021,W00000183,W00000183,298,206,92
2021,W00000184,W00000184,270,187,83
2021,W00000185,W00000185,289,203,86
2021,W00000186,W00000186,261,204,57
2021,W00000187,W00000187,296,222,74
2021,W00000188,W00000188,180,128,52
2021,W00000189,W00000189,240,138,102
2021,W00000190,W00000190,183,136,47
2021,W00000191,W00000191,157,127,30
2021,W00000192,W00000192,354,163,191
2021,W00000193,W00000193,244,112,132
2021,W00000194,W00000194,338,190,148
2021,W00000195,W00000195,339,126,213
2021,W00000196,W00000196,305,154,151
2021,W00000197,W00000197,269,101,168
2021,W00000198,W00000198,325,158,167
2021,W00000199,W00000199,172,118,54
2021,W00000200,W00000200,308,182,126
2021,W00000201,W00000201,121,81,40
2021,W00000202,W00000202,305,221,84
2021,W00000203,W00000203,295,221,74
2021,W00000204,W00000204,184,145,39
2021,W00000205,W00000205,138,94,44
2021,W00000206,W00000206,255,192,63
2021,W00000207,W00000207,221,161,60
2021,W00000208,W00000208,408,170,238
2021,W00000209,W00000209,243,87,156
2021,W00000210,W00000210,513,169,344
2021,W00000211,W00000211,114,56,58
2021,W00000212,W00000212,251,89,162
2021,W00000213,W00000213,315,187,128
2021,W00000214,W00000214,339,173,166
2021,W00000215,W00000215,249,132,117
2021,W00000216,W00000216,277,138,139
2021,W00000217,W00000217,292,165,127
2021,W00000218,W00000218,244,134,110
2021,W00000219,W00000219,265,111,154
2021,W00000220,W00000220,377,187,190
2021,W00000221,W00000221,267,139,128
2021,W00000222,W00000222,253,144,109
2021,W00000223,W00000223,288,158,130
2021,W00000224,W00000224,254,160,94
2021,W00000225,W00000225,285,178,107
2021,W00000226,W00000226,315,181,134
2021,W00000227,W00000227,243,139,104
2021,W00000228,W00000228,247,52,195
2021,W00000229,W00000229,344,116,228
2021,W00000230,W00000230,284,106,178
2021,W00000231,W00000231,194,158,36
2021,W00000232,W00000232,222,162,60
2021,W00000233,W00000233,142,81,61
2021,W00000234,W00000234,117,91,26
2021,W00000235,W00000235,327,184,143
2021,W00000236,W00000236,274,87,187
2021,W00000237,W00000237,272,63,209
2021,W00000238,W00000238,263,57,206
2021,W00000239,W00000239,256,76,180
2021,W00000240,W00000240,169,51,118
2021,W00000241,W00000241,232,164,68
2021,W00000242,W00000242,219,151,68
2021,W00000243,W00000243,228,150,78
2021,W00000244,W00000244,246,180,66
2021,W00000245,W00000245,176,131,45
2021,W00000246,W00000246,277,195,82
2021,W00000247,W00000247,306,183,123
2021,W00000248,W00000248,157,105,52
2021,W00000249,W00000249,257,160,97
2021,W00000250,W00000250,134,84,50
2021,W00000251,W00000251,136,72,64
2021,W00000252,W00000252,162,77,85
2021,W00000253,W00000253,164,98,66
2021,W00000254,W00000254,184,98,86
2021,W00000255,W00000255,315,189,126
2021,W00000256,W00000256,244,116,128
2021,W00000257,W00000257,169,77,92
2021,W00000258,W00000258,486,238,248
2021,W00000259,W00000259,284,77,207
2021,W00000260,W00000260,278,109,169
2021,W00000261,W00000261,265,158,107
2021,W00000262,W00000262,328,83,245
2021,W00000263,W00000263,277,76,201
2021,W00000264,W00000264,255,97,158
2021,W00000265,W00000265,262,90,172
2021,W00000266,W00000266,269,34,235
2021,W00000267,W00000267,268,72,196
2021,W00000268,W00000268,231,49,182
2021,W00000269,W00000269,222,93,129
2021,W00000270,W00000270,291,53,238
2021,W00000271,W00000271,296,73,223
2021,W00000272,W00000272,219,52,167
2021,W00000273,W00000273,298,57,241
2021,W00000274,W00000274,180,62,118
2021,W00000275,W00000275,313,110,203
2021,W00000276,W00000276,334,64,270
2021,W00000277,W00000277,314,97,217
2021,W00000278,W00000278,256,110,146
2021,W00000279,W00000279,350,104,246
2021,W00000280,W00000280,310,77,233
2021,W00000281,W00000281,291,71,220
2021,W00000282,W00000282,235,72,163
2021,W00000283,W00000283,275,102,173
2021,W00000284,W00000284,207,91,116
2021,W00000285,W00000285,235,118,117
2021,W00000286,W00000286,290,110,180
2021,W00000287,W00000287,161,76,85
2021,W00000288,W00000288,155,88,67
2021,W00000289,W00000289,310,132,178
2021,W00000290,W00000290,283,152,131
2021,W00000291,W00000291,311,201,110
2021,W00000292,W00000292,283,161,122
2021,W00000293,W00000293,274,102,172
2021,W00000294,W00000294,256,63,193
2021,W00000295,W00000295,207,65,142
2021,W00000296,W00000296,247,43,204
2021,W00000297,W00000297,268,47,221
2021,W00000298,W00000298,333,106,227
2021,W00000299,W00000299,208,51,157
2021,W00000300,W00000300,235,92,143
2021,W00000301,W00000301,294,104,190
2021,W00000302,W00000302,373,148,225
2021,W00000303,W00000303,264,86,178
2021,W00000304,W00000304,337,221,116
2021,W00000305,W00000305,254,151,103
2021,W00000306,W00000306,288,152,136
2021,W00000307,W00000307,348,179,169
2021,W00000308,W00000308,229,121,108
2021,W00000309,W00000309,268,158,110
2021,W00000310,W00000310,299,111,188
2021,W00000311,W00000311,234,137,97
2021,W00000312,W00000312,418,150,268
2021,W00000313,W00000313,247,123,124
2021,W00000314,W00000314,317,115,202
2021,W00000315,W00000315,316,112,204
2021,W00000316,W00000316,289,135,154
2021,W00000317,W00000317,275,220,55
2021,W00000318,W00000318,367,290,77
2021,W00000319,W00000319,255,204,51
2021,W00000322,W00000322,354,114,240
2021,W00000323,W00000323,367,86,281
2021,W00000324,W00000324,325,121,204
2021,W00000325,W00000325,270,129,141
2021,W00000326,W00000326,298,102,196
2021,W00000327,W00000327,231,111,120
2021,W00000328,W00000328,326,210,116
2021,W00000329,W00000329,297,193,104
2021,W00000330,W00000330,585,288,297
2021,W00000331,W00000331,460,291,169
2021,W00000332,W00000332,279,155,124
2021,W00000333,W00000333,236,88,148
2021,W00000334,W00000334,275,59,216
2021,W00000335,W00000335,246,114,132
2021,W00000336,W00000336,238,74,164
2021,W00000337,W00000337,300,104,196
2021,W00000338,W00000338,276,116,160
2021,W00000339,W00000339,297,111,186
2021,W00000340,W00000340,270,154,116
2021,W00000341,W00000341,250,133,117
2021,W00000342,W00000342,252,103,149
2021,W00000343,W00000343,261,121,140
2021,W00000344,W00000344,234,104,130
2021,W00000345,W00000345,168,92,76
2021,W00000346,W00000346,319,124,195
2021,W00000347,W00000347,196,110,86
2021,W00000348,W00000348,371,180,191
2021,W00000349,W00000349,306,146,160
2021,W00000350,W00000350,180,100,80
2021,W00000351,W00000351,230,150,80
2021,W00000352,W00000352,225,131,94
2021,W00000353,W00000353,224,174,50
2021,W00000354,W00000354,284,137,147
2021,W00000355,W00000355,254,158,96
2021,W00000356,W00000356,227,141,86
2021,W00000357,W00000357,464,162,302
2021,W00000358,W00000358,278,90,188
2021,W00000359,W00000359,253,88,165
2021,W00000360,W00000360,269,77,192
2021,W00000362,W00000362,360,228,132
2021,W00000363,W00000363,287,97,190
2021,W00000364,W00000364,276,120,156
2021,W00000365,W00000365,306,93,213
2021,W00000366,W00000366,364,99,265
2021,W00000367,W00000367,338,118,220
2021,W00000368,W00000368,313,114,199
2021,W00000369,W00000369,290,119,171
2021,W00000370,W00000370,255,119,136
2021,W00000371,W00000371,280,127,153
2021,W00000372,W00000372,293,193,100
2021,W00000373,W00000373,257,168,89
2021,W00000374,W00000374,267,128,139
2021,W00000375,W00000375,277,162,115
2021,W00000376,W00000376,237,69,168
2021,W00000377,W00000377,252,82,170
2021,W00000378,W00000378,292,70,222
2021,W00000379,W00000379,320,73,247
2021,W00000380,W00000380,277,80,197
2021,W00000381,W00000381,241,71,170
2021,W00000382,W00000382,200,137,63
2021,W00000383,W00000383,304,169,135
2021,W00000384,W00000384,276,130,146
2021,W00000385,W00000385,174,84,90
2021,W00000386,W00000386,283,139,144
2021,W00000387,W00000387,258,143,115
2021,W00000388,W00000388,272,118,154
2021,W00000389,W00000389,239,156,83
2021,W00000390,W00000390,327,216,111
2021,W00000391,W00000391,209,148,61
2021,W00000392,W00000392,276,201,75
2021,W00000393,W00000393,318,250,68
2021,W00000394,W00000394,336,244,92
2021,W00000395,W00000395,373,257,116
2021,W00000396,W00000396,340,246,94
2021,W00000397,W00000397,266,199,67
2021,W00000398,W00000398,204,134,70
2021,W00000399,W00000399,297,97,200
2021,W00000400,W00000400,208,61,147
2021,W00000401,W00000401,232,82,150
2021,W00000402,W00000402,295,120,175
2021,W00000403,W00000403,129,47,82
2021,W00000404,W00000404,361,144,217
2021,W00000406,W00000406,329,172,157
2021,W00000408,W00000408,282,170,112
2021,W00000409,W00000409,343,195,148
2021,W00000410,W00000410,257,88,169
2021,W00000411,W00000411,227,95,132
2021,W00000412,W00000412,338,107,231
2021,W00000413,W00000413,168,79,89
2021,W00000414,W00000414,287,78,209
2021,W00000415,W00000415,289,104,185
2021,W00000416,W00000416,276,110,166
2021,W00000417,W00000417,237,107,130
2021,W00000418,W00000418,363,138,225
2021,W00000419,W00000419,382,143,239
2021,W00000420,W00000420,351,107,244
2021,W00000421,W00000421,334,183,151
2021,W00000422,W00000422,432,108,324
2021,W00000423,W00000423,263,117,146
2021,W00000424,W00000424,277,130,147
2021,W00000425,W00000425,293,102,191
2021,W00000426,W00000426,215,107,108
2021,W00000427,W00000427,220,175,45
2021,W00000428,W00000428,230,169,61
2021,W00000429,W00000429,221,178,43
2021,W00000430,W00000430,288,190,98
2021,W00000431,W00000431,301,158,143
2021,W00000432,W00000432,258,162,96
2021,W00000433,W00000433,247,173,74
2021,W00000434,W00000434,122,54,68
2021,W00000435,W00000435,335,89,246
2021,W00000436,W00000436,344,142,202
2021,W00000437,W00000437,303,92,211
2021,W00000438,W00000438,198,78,120
2021,W00000439,W00000439,274,54,220
2021,W00000440,W00000440,277,44,233
2021,W00000441,W00000441,297,49,248
2021,W00000442,W00000442,286,62,224
2021,W00000443,W00000443,314,81,233
2021,W00000444,W00000444,331,76,255
2021,W00000445,W00000445,283,94,189
2021,W00000446,W00000446,274,48,226
2021,W00000447,W00000447,328,75,253
2021,W00000448,W00000448,317,118,199
2021,W00000449,W00000449,339,79,260
2021,W00000450,W00000450,356,93,263
2021,W00000451,W00000451,295,71,224
2021,W00000452,W00000452,320,76,244
2021,W00000453,W00000453,380,81,299
2021,W00000454,W00000454,329,84,245
2021,W00000455,W00000455,323,103,220
2021,W00000456,W00000456,301,101,200
2021,W00000457,W00000457,297,78,219
2021,W00000458,W00000458,293,116,177
2021,W00000459,W00000459,326,79,247
2021,W00000460,W00000460,301,203,98
2021,W00000461,W00000461,180,111,69
2021,W00000462,W00000462,344,181,163
2021,W00000463,W00000463,277,171,106
2021,W00000464,W00000464,331,202,129
2021,W00000465,W00000465,293,164,129
2021,W00000466,W00000466,326,190,136
2021,W00000467,W00000467,316,203,113
2021,W00000468,W00000468,471,411,60
2021,W00000469,W00000469,367,290,77
2021,W00000470,W00000470,302,220,82
2021,W00000472,W00000472,303,248,55
2021,W00000473,W00000473,252,110,142
2021,W00000474,W00000474,282,70,212
2021,W00000475,W00000475,336,88,248
2021,W00000476,W00000476,354,110,244
2021,W00000477,W00000477,268,47,221
2021,W00000478,W00000478,217,49,168
2021,W00000479,W00000479,193,56,137
2021,W00000480,W00000480,280,64,216
2021,W00000481,W00000481,393,103,290
2021,W00000482,W00000482,376,116,260
2021,W00000483,W00000483,213,77,136
2021,W00000484,W00000484,206,84,122
2021,W00000485,W00000485,264,62,202
2021,W00000486,W00000486,234,65,169
2021,W00000487,W00000487,207,83,124
2021,W00000488,W00000488,281,92,189
2021,W00000489,W00000489,275,90,185
2021,W00000490,W00000490,317,69,248
2021,W00000491,W00000491,266,131,135
2021,W00000492,W00000492,310,82,228
2021,W00000493,W00000493,210,86,124
2021,W00000494,W00000494,298,104,194
2021,W00000495,W00000495,250,69,181
2021,W00000496,W00000496,343,73,270
2021,W00000497,W00000497,329,71,258
2021,W00000498,W00000498,300,91,209
2021,W00000499,W00000499,352,97,255
2021,W00000500,W00000500,296,70,226
2021,W00000501,W00000501,345,113,232
2021,W00000502,W00000502,544,145,399
2021,W00000503,W00000503,288,68,220
2021,W00000504,W00000504,296,91,205
2021,W00000505,W00000505,297,133,164
2021,W00000506,W00000506,304,123,181
2021,W00000507,W00000507,229,74,155
2021,W00000508,W00000508,420,148,272
2021,W00000509,W00000509,369,138,231
2021,W00000510,W00000510,151,72,79
2021,W00000511,W00000511,275,96,179
2021,W00000512,W00000512,290,100,190
2021,W00000513,W00000513,330,91,239
2021,W00000514,W00000514,244,90,154
2021,W00000515,W00000515,285,75,210
2021,W00000516,W00000516,291,91,200
2021,W00000517,W00000517,221,69,152
2021,W00000518,W00000518,277,115,162
2021,W00000519,W00000519,533,281,252
2021,W00000520,W00000520,358,179,179
2021,W00000521,W00000521,245,129,116
2021,W00000522,W00000522,282,150,132
2021,W00000523,W00000523,256,125,131
2021,W00000524,W00000524,431,239,192
2021,W00000526,W00000526,328,80,248
2021,W00000527,W00000527,239,60,179
2021,W00000528,W00000528,311,67,244
2021,W00000529,W00000529,270,71,199
2021,W00000530,W00000530,309,78,231
2021,W00000531,W00000531,283,64,219
2021,W00000532,W00000532,256,69,187
2021,W00000533,W00000533,269,88,181
2021,W00000534,W00000534,236,89,147
2021,W00000535,W00000535,294,74,220
2021,W00000536,W00000536,253,96,157
2021,W00000537,W00000537,382,97,285
2021,W00000538,W00000538,144,72,72
2021,W00000539,W00000539,276,160,116
2021,W00000540,W00000540,122,69,53
2021,W00000541,W00000541,259,136,123
2021,W00000542,W00000542,180,97,83
2021,W00000543,W00000543,195,117,78
2021,W00000544,W00000544,301,98,203
2021,W00000545,W00000545,236,139,97
2021,W00000546,W00000546,214,111,103
2021,W00000549,W00000549,276,108,168
2021,W00000550,W00000550,237,85,152
2021,W00000551,W00000551,317,73,244
2021,W00000552,W00000552,359,145,214
2021,W00000553,W00000553,242,61,181
2021,W00000554,W00000554,320,82,238
2021,W00000555,W00000555,233,89,144
2021,W00000556,W00000556,324,73,251
2021,W00000557,W00000557,300,77,223
2021,W00000558,W00000558,156,87,69
2021,W00000559,W00000559,228,62,166
2021,W00000560,W00000560,305,68,237
2021,W00000561,W00000561,279,124,155
2021,W00000562,W00000562,252,77,175
2021,W00000563,W00000563,295,103,192
2021,W00000564,W00000564,205,91,114
2021,W00000565,W00000565,159,67,92
2021,W00000566,W00000566,267,70,197
2021,W00000567,W00000567,179,60,119
2021,W00000568,W00000568,238,45,193
2021,W00000569,W00000569,383,72,311
2021,W00000570,W00000570,243,71,172
2021,W00000571,W00000571,282,53,229
2021,W00000572,W00000572,288,64,224
2021,W00000573,W00000573,323,53,270
2021,W00000574,W00000574,268,66,202
2021,W00000575,W00000575,236,107,129
2021,W00000576,W00000576,253,133,120
2021,W00000577,W00000577,271,103,168
2021,W00000578,W00000578,317,71,246
2021,W00000579,W00000579,373,149,224
2021,W00000580,W00000580,324,134,190
2021,W00000581,W00000581,341,118,223
2021,W00000582,W00000582,288,91,197
2021,W00000583,W00000583,302,103,199
2021,W00000584,W00000584,264,97,167
2021,W00000585,W00000585,347,91,256
2021,W00000586,W00000586,310,112,198
2021,W00000587,W00000587,280,85,195
2021,W00000588,W00000588,310,134,176
2021,W00000589,W00000589,217,80,137
2021,W00000590,W00000590,306,68,238
2021,W00000591,W00000591,290,73,217
2021,W00000592,W00000592,255,74,181
2021,W00000593,W00000593,275,103,172
2021,W00000594,W00000594,280,96,184
2021,W00000595,W00000595,339,147,192
2021,W00000596,W00000596,321,120,201
2021,W00000597,W00000597,251,116,135
2021,W00000598,W00000598,299,148,151
2021,W00000599,W00000599,305,115,190
2021,W00000600,W00000600,295,56,239
2021,W00000601,W00000601,287,93,194
2021,W00000602,W00000602,277,81,196
2021,W00000603,W00000603,256,182,74
2021,W00000604,W00000604,149,86,63
2021,W00000605,W00000605,219,137,82
2021,W00000606,W00000606,243,185,58
2021,W00000607,W00000607,234,182,52
2021,W00000608,W00000608,275,170,105
2021,W00000609,W00000609,202,163,39
2021,W00000610,W00000610,265,196,69
2021,W00000611,W00000611,275,170,105
2021,W00000612,W00000612,190,140,50
2021,W00000613,W00000613,307,194,113
2021,W00000614,W00000614,209,166,43
2021,W00000615,W00000615,263,164,99
2021,W00000616,W00000616,242,123,119
2021,W00000617,W00000617,242,63,179
2021,W00000618,W00000618,318,71,247
2021,W00000619,W00000619,266,104,162
2021,W00000620,W00000620,282,92,190
2021,W00000621,W00000621,303,96,207
2021,W00000622,W00000622,446,127,319
2021,W00000623,W00000623,247,83,164
2021,W00000624,W00000624,265,89,176
2021,W00000625,W00000625,331,108,223
2021,W00000626,W00000626,325,111,214
2021,W00000627,W00000627,341,212,129
2021,W00000628,W00000628,302,155,147
2021,W00000629,W00000629,221,213,8
2021,W00000630,W00000630,239,222,17
2021,W00000631,W00000631,213,196,17
2021,W00000632,W00000632,423,368,55
2021,W00000633,W00000633,387,334,53
2021,W00000634,W00000634,179,152,27
2021,W00000635,W00000635,263,239,24
2021,W00000636,W00000636,183,167,16
2021,W00000637,W00000637,265,248,17
2021,W00000638,W00000638,259,145,114
2021,W00000639,W00000639,215,154,61
2021,W00000640,W00000640,210,127,83
2021,W00000641,W00000641,249,136,113
2021,W00000642,W00000642,193,106,87
2021,W00000643,W00000643,302,180,122
2021,W00000644,W00000644,375,240,135
2021,W00000645,W00000645,295,186,109
2021,W00000646,W00000646,356,251,105
2021,W00000647,W00000647,309,187,122
2021,W00000648,W00000648,280,193,87
2021,W00000649,W00000649,379,242,137
2021,W00000650,W00000650,242,154,88
2021,W00000651,W00000651,248,149,99
2021,W00000653,W00000653,278,203,75
2021,W00000655,W00000655,234,144,90
2021,W00000656,W00000656,303,192,111
2021,W00000657,W00000657,341,201,140
2021,W00000658,W00000658,289,211,78
2021,W00000659,W00000659,310,209,101
2021,W00000660,W00000660,332,223,109
2021,W00000661,W00000661,332,274,58
2021,W00000662,W00000662,243,182,61
2021,W00000663,W00000663,262,192,70
2021,W00000664,W00000664,250,194,56
2021,W00000665,W00000665,132,105,27
2021,W00000666,W00000666,285,207,78
2021,W00000667,W00000667,322,268,54
2021,W00000668,W00000668,479,349,130
2021,W00000669,W00000669,298,265,33
2021,W00000670,W00000670,275,235,40
2021,W00000671,W00000671,275,250,25
2021,W00000672,W00000672,329,290,39
2021,W00000673,W00000673,399,352,47
2021,W00000674,W00000674,326,277,49
2021,W00000675,W00000675,291,240,51
2021,W00000676,W00000676,324,246,78
2021,W00000677,W00000677,322,257,65
2021,W00000678,W00000678,271,235,36
2021,W00000679,W00000679,260,229,31
2021,W00000680,W00000680,305,274,31
2021,W00000681,W00000681,263,231,32
2021,W00000682,W00000682,194,168,26
2021,W00000683,W00000683,264,182,82
2021,W00000684,W00000684,328,252,76
2021,W00000685,W00000685,368,326,42
2021,W00000686,W00000686,257,197,60
2021,W00000687,W00000687,228,193,35
2021,W00000688,W00000688,288,215,73
2021,W00000689,W00000689,196,160,36
2021,W00000690,W00000690,362,276,86
2021,W00000691,W00000691,215,171,44
2021,W00000692,W00000692,231,186,45
2021,W00000693,W00000693,375,265,110
2021,W00000694,W00000694,291,231,60
2021,W00000695,W00000695,335,241,94
2021,W00000696,W00000696,228,194,34
2021,W00000697,W00000697,242,216,26
2021,W00000698,W00000698,291,234,57
2021,W00000699,W00000699,308,253,55
2021,W00000700,W00000700,331,273,58
2021,W00000701,W00000701,246,217,29
2021,W00000702,W00000702,284,233,51
2021,W00000703,W00000703,214,180,34
2021,W00000704,W00000704,168,145,23
2021,W00000705,W00000705,258,223,35
2021,W00000706,W00000706,198,174,24
2021,W00000707,W00000707,233,201,32
2021,W00000708,W00000708,258,223,35
2021,W00000709,W00000709,222,189,33
2021,W00000710,W00000710,311,146,165
2021,W00000711,W00000711,247,124,123
2021,W00000712,W00000712,313,147,166
2021,W00000713,W00000713,196,118,78
2021,W00000714,W00000714,290,158,132
2021,W00000715,W00000715,357,210,147
2021,W00000716,W00000716,275,146,129
2021,W00000717,W00000717,325,267,58
2021,W00000718,W00000718,214,176,38
2021,W00000719,W00000719,245,203,42
2021,W00000720,W00000720,307,262,45
2021,W00000721,W00000721,204,172,32
2021,W00000722,W00000722,247,215,32
2021,W00000723,W00000723,228,185,43
2021,W00000724,W00000724,193,173,20
2021,W00000725,W00000725,242,210,32
2021,W00000726,W00000726,299,245,54
2021,W00000727,W00000727,255,221,34
2021,W00000728,W00000728,269,214,55
2021,W00000729,W00000729,384,330,54
2021,W00000730,W00000730,276,205,71
2021,W00000731,W00000731,371,189,182
2021,W00000732,W00000732,264,137,127
2021,W00000733,W00000733,273,188,85
2021,W00000734,W00000734,301,159,142
2021,W00000735,W00000735,298,117,181
2021,W00000736,W00000736,268,226,42
2021,W00000737,W00000737,237,189,48
2021,W00000738,W00000738,293,222,71
2021,W00000739,W00000739,215,177,38
2021,W00000740,W00000740,260,228,32
2021,W00000741,W00000741,346,273,73
2021,W00000742,W00000742,205,174,31
2021,W00000743,W00000743,338,274,64
